#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,End of File
1,06/28/2022 10:43:24,24.890,,,
2,06/28/2022 10:43:39,,Logged,Logged,
3,06/28/2022 10:43:40,,Logged,,
4,06/28/2022 10:43:41,,,Logged,
5,06/28/2022 10:48:24,25.920,,,
6,06/28/2022 10:53:24,26.006,,,
7,06/28/2022 10:58:24,25.952,,,
8,06/28/2022 11:03:24,26.274,,,
9,06/28/2022 11:08:24,28.955,,,
10,06/28/2022 11:13:24,28.269,,,
11,06/28/2022 11:18:24,27.046,,,
12,06/28/2022 11:23:24,26.124,,,
13,06/28/2022 11:28:24,25.394,,,
14,06/28/2022 11:33:24,24.804,,,
15,06/28/2022 11:38:24,24.300,,,
16,06/28/2022 11:43:24,23.839,,,
17,06/28/2022 11:48:24,23.453,,,
18,06/28/2022 11:53:24,23.121,,,
19,06/28/2022 11:58:24,22.831,,,
20,06/28/2022 12:03:24,22.574,,,
21,06/28/2022 12:08:24,22.348,,,
22,06/28/2022 12:13:24,22.145,,,
23,06/28/2022 12:18:24,21.984,,,
24,06/28/2022 12:23:24,21.801,,,
25,06/28/2022 12:28:24,21.716,,,
26,06/28/2022 12:33:24,21.619,,,
27,06/28/2022 12:38:24,21.555,,,
28,06/28/2022 12:43:24,21.480,,,
29,06/28/2022 12:48:24,21.405,,,
30,06/28/2022 12:53:24,21.383,,,
31,06/28/2022 12:58:24,21.362,,,
32,06/28/2022 13:03:24,21.308,,,
33,06/28/2022 13:08:24,21.287,,,
34,06/28/2022 13:13:24,21.233,,,
35,06/28/2022 13:18:24,21.211,,,
36,06/28/2022 13:23:24,21.169,,,
37,06/28/2022 13:28:24,21.158,,,
38,06/28/2022 13:33:24,21.115,,,
39,06/28/2022 13:38:24,21.083,,,
40,06/28/2022 13:43:24,21.051,,,
41,06/28/2022 13:48:24,21.061,,,
42,06/28/2022 13:53:24,20.997,,,
43,06/28/2022 13:58:24,20.986,,,
44,06/28/2022 14:03:24,20.965,,,
45,06/28/2022 14:08:24,20.933,,,
46,06/28/2022 14:13:24,20.911,,,
47,06/28/2022 14:18:24,20.900,,,
48,06/28/2022 14:23:24,20.868,,,
49,06/28/2022 14:28:24,20.868,,,
50,06/28/2022 14:33:24,20.836,,,
51,06/28/2022 14:38:24,20.815,,,
52,06/28/2022 14:43:24,20.804,,,
53,06/28/2022 14:48:24,20.772,,,
54,06/28/2022 14:53:24,20.761,,,
55,06/28/2022 14:58:24,20.750,,,
56,06/28/2022 15:03:24,20.750,,,
57,06/28/2022 15:08:24,20.707,,,
58,06/28/2022 15:13:24,20.707,,,
59,06/28/2022 15:18:24,20.707,,,
60,06/28/2022 15:23:24,20.697,,,
61,06/28/2022 15:28:24,20.675,,,
62,06/28/2022 15:33:24,20.729,,,
63,06/28/2022 15:38:24,20.911,,,
64,06/28/2022 15:43:24,21.158,,,
65,06/28/2022 15:48:24,21.405,,,
66,06/28/2022 15:53:24,21.662,,,
67,06/28/2022 15:58:24,21.930,,,
68,06/28/2022 16:03:24,22.209,,,
69,06/28/2022 16:08:24,22.574,,,
70,06/28/2022 16:13:24,22.917,,,
71,06/28/2022 16:18:24,23.206,,,
72,06/28/2022 16:23:24,23.432,,,
73,06/28/2022 16:28:24,23.646,,,
74,06/28/2022 16:33:24,23.839,,,
75,06/28/2022 16:38:24,23.979,,,
76,06/28/2022 16:43:24,24.086,,,
77,06/28/2022 16:48:24,24.118,,,
78,06/28/2022 16:53:24,24.150,,,
79,06/28/2022 16:58:24,24.139,,,
